position,name,role
1,Shubman Gill,Batsmen
2,Rohit Sharma,Batsmen
3,Cheteshwar Pujara,Batsmen
4,Ajinkya Rahane,Batsmen
5,Rishabh Pant,Batsmen/WK
6,Wriddhiman Saha,Batsmen/WK
7,R Ashwin,Bowling Allrounder
8,Shardul Thakur,Bowling Allrounder
9,Navdeep Saini,Bowler
10,Mohammed Siraj,Bowler
11,T Natarajan,Bowler
