date,wakeup time,meditation,exercise,daily routines,travel to work,work,learning,sleep,movies,series,games,outing,others,time to bed
2020-04-01,9:00A.M.,,,1,,9,5,8,,,,,1.0,12:00P.M.
2020-04-02,9:00A.M.,,,1,,9,6,8,,,,,,12:00P.M.
