time,open,high,low,close,volume
2020-12-24 16:45:00,124.63,124.66,124.63,124.66,845
2020-12-24 15:45:00,124.69,124.69,124.69,124.69,0
2020-12-24 13:15:00,124.69,124.69,124.69,124.69,132659
2020-12-24 13:00:00,124.485,124.84,124.45,124.78,199288
2020-12-24 12:45:00,124.37,124.5,124.34,124.485,87925
2020-12-24 12:30:00,124.44,124.49,124.28,124.36,60089
2020-12-24 12:15:00,124.3311,124.51,124.21,124.43,92429
2020-12-24 12:00:00,124.49,124.495,124.2601,124.34,125226
2020-12-24 11:45:00,124.52,124.5929,124.414,124.46,84137
2020-12-24 11:30:00,124.79,124.81,124.38,124.52,134693
2020-12-24 11:15:00,124.81,124.85,124.62,124.79,93806
2020-12-24 11:00:00,124.6117,124.81,124.51,124.81,65827
2020-12-24 10:45:00,124.705,124.705,124.46,124.59,99421
2020-12-24 10:30:00,124.549,124.81,124.5161,124.705,65803
2020-12-24 10:15:00,124.54,124.77,124.39,124.54,85258
2020-12-24 10:00:00,124.6615,124.74,124.26,124.5025,103563
2020-12-24 09:45:00,125.0,125.1,124.44,124.69,338277
2020-12-24 09:30:00,124.95,125.09,124.54,124.8,7189
2020-12-24 09:15:00,124.8,124.98,124.72,124.72,4629
2020-12-24 09:00:00,124.45,124.82,124.45,124.8,39526
2020-12-24 08:45:00,124.24,124.24,124.24,124.24,183
2020-12-23 20:00:00,123.91,123.91,123.91,123.91,225
2020-12-23 18:45:00,124.05,124.05,124.0,124.0,278
2020-12-23 17:45:00,124.1,124.1,124.1,124.1,1571
2020-12-23 17:30:00,123.9,123.9,123.9,123.9,1146
2020-12-23 17:15:00,123.91,123.91,123.91,123.91,100
2020-12-23 17:00:00,123.9,123.9,123.9,123.9,842
2020-12-23 16:45:00,123.8,123.8,123.8,123.8,150
2020-12-23 16:30:00,123.9,123.9,123.9,123.9,100
2020-12-23 16:15:00,123.9,123.9,123.9,123.9,39607
2020-12-23 16:00:00,124.41,124.48,123.89,123.9,249042
2020-12-23 15:45:00,124.33,124.48,124.26,124.405,79476
2020-12-23 15:30:00,124.315,124.39,124.26,124.325,60180
2020-12-23 15:15:00,124.4,124.42,124.29,124.31,59814
2020-12-23 15:00:00,124.5859,124.61,124.39,124.3987,72027
2020-12-23 14:45:00,124.68,124.73,124.575,124.59,55145
2020-12-23 14:30:00,124.8,124.82,124.55,124.6776,62037
2020-12-23 14:15:00,124.72,124.87,124.71,124.7969,57438
2020-12-23 14:00:00,124.79,124.83,124.65,124.73,62745
2020-12-23 13:45:00,124.675,124.82,124.667,124.8,74076
2020-12-23 13:30:00,124.82,124.9,124.5625,124.671,71857
2020-12-23 13:15:00,124.87,124.88,124.7218,124.82,64404
2020-12-23 13:00:00,124.72,124.95,124.69,124.85,89001
2020-12-23 12:45:00,124.44,124.76,124.435,124.725,84517
2020-12-23 12:30:00,124.543,124.635,124.44,124.4501,74574
2020-12-23 12:15:00,124.68,124.831,124.53,124.555,54550
2020-12-23 12:00:00,124.53,124.71,124.44,124.68,75918
2020-12-23 11:45:00,124.43,124.78,124.43,124.54,78775
2020-12-23 11:30:00,124.55,124.75,124.375,124.43,90010
2020-12-23 11:15:00,124.38,124.6,124.26,124.565,57905
2020-12-23 11:00:00,124.44,124.49,124.24,124.411,79969
2020-12-23 10:45:00,124.42,124.53,124.26,124.43,65325
2020-12-23 10:30:00,124.63,124.664,124.3222,124.4,71089
2020-12-23 10:15:00,124.64,125.21,124.59,124.59,128241
2020-12-23 10:00:00,124.695,125.06,124.55,124.58,116456
2020-12-23 09:45:00,123.88,125.07,123.74,124.66,340360
2020-12-23 09:30:00,123.86,123.86,123.67,123.67,1779
2020-12-23 09:15:00,123.92,123.92,123.88,123.88,265
2020-12-23 08:30:00,123.61,123.61,123.61,123.61,301
2020-12-23 08:15:00,124.0,124.0,124.0,124.0,260
2020-12-23 07:15:00,124.03,124.03,123.68,123.75,1463
2020-12-23 06:30:00,124.03,124.11,124.03,124.11,592
2020-12-22 20:00:00,123.3,123.46,123.3,123.46,861
2020-12-22 19:15:00,123.35,123.35,123.35,123.35,250
2020-12-22 19:00:00,123.75,123.75,123.75,123.75,100
2020-12-22 18:30:00,123.58,123.61,123.58,123.61,246
2020-12-22 18:15:00,123.61,123.61,123.61,123.61,288786
2020-12-22 16:30:00,123.26,123.26,123.26,123.26,400
2020-12-22 16:15:00,123.61,123.61,122.84,123.61,226129
2020-12-22 16:00:00,123.62,123.74,123.55,123.61,299261
2020-12-22 15:45:00,123.5,123.705,123.47,123.62,174329
2020-12-22 15:30:00,123.68,123.77,123.4848,123.5,134709
2020-12-22 15:15:00,123.79,123.81,123.65,123.693,134869
2020-12-22 15:00:00,123.777,123.86,123.6843,123.78,87913
